"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","information-level","trust","credibility","opinions","government-intervention","government-control-of-economy","free-trade","protectionism","pro-choice","tax-increase-to-offset-debt-and-deficit","crime-punishment-level","military-hawkishness","non-military-interventions","affirmative-action","prayer-in-schools","market-solution-to-healthcare","moralistic-law"
"108","100","132","-21.810600497493304","44.704676760855435","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","100","154","-48.94700885281669","-29.713188722306633","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","100","73","25.546898376084826","37.77528158484135","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","100","36","-54.17927974980415","54.861753895869256","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","100","175","60.6223039352935","-4.834923572680744","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","100","226","-27.706341969383907","-57.13179443574526","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","100","351","-55.93934182127863","61.36935420314056","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","100","229","13.559394892057568","20.98080566106988","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","100","145","-4.69893994948292","27.68234895601492","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","100","342","47.32201328417919","52.23758620718279","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","100","214","-5.057668724438798","32.84373454962319","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","100","88","45.41251671956552","-44.04357030868917","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","100","143","-46.52184299211244","-64.4718046535462","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","100","246","31.990598169295993","38.62567266170727","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","100","113","-22.80976079157697","-36.91077450347168","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","100","253","36.756367520192896","37.612704661383376","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","100","113","38.039961911545674","4.1091954889945725","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","100","113","7.2997494328750605","-6.383803881347795","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","100","13","-38.43572511303921","42.868444154139794","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","100","257","-38.719999557565615","-12.197187892026747","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","100","318","27.93203842143211","-22.22985416027909","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","100","299","-22.86929697975676","34.72818287915342","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","100","213","-46.4805247435731","-49.974706786637384","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","100","14","55.99399938312085","-59.75155601698045","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","100","237","38.85327299517978","-4.2605154957331735","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","100","44","18.559053651904364","-14.042762185330936","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","100","247","49.43890829248984","62.142679498049404","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","100","263","-10.533184731781283","51.713319004064275","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
