"pxcor","pycor","pcolor","plabel","plabel-color"
"18","62","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"19","62","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"20","62","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"21","62","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"22","62","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"23","62","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"24","62","[21.25 158.75 21.25]","""""","9.9"
"25","62","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"26","62","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"27","62","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"28","62","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"29","62","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"30","62","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"31","62","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"32","62","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"33","62","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"34","62","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"35","62","[148.75 211.25 148.75]","""""","9.9"
"36","62","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"37","62","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"38","62","[170 220 170]","""""","9.9"
"39","62","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"40","62","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"41","62","[148.75 211.25 148.75]","""""","9.9"
